Unnamed: 0,Venue,City,Country,Date,Year,State,Setlist,Set Opener,Latitude,Longitude
0,Winterland Arena,San Francisco,USA,1972-01-02,1972,CA,"[""truckin'"", 'sugaree', 'mr. charlie', 'beat it on down the line', 'loser', 'jack straw', 'chinatown shuffle', 'your love at home', 'tennessee jed', 'el paso', 'you win again', 'big railroad blues', 'mexicali blues', 'playing in the band', 'next time you see me', 'brown eyed women', 'casey jones', ""good lovin'"", 'china cat sunflower', 'i know you rider', ""good lovin'"", 'ramble on rose', 'sugar magnolia', 'not fade away', ""goin' down the road feeling bad"", 'not fade away', 'one more saturday night']",truckin,37.7879363,-122.4075201
1,Winteriand Arena,San Francisco,USA,1972-03-05,1972,CA,"['bertha', 'black throated wind', 'mr. charlie', 'sugaree', 'greatest story ever told', 'next time you see me', 'tennessee jed', 'jack straw', 'china cat sunflower', 'i know you rider', 'mexicali blues', 'you win again', 'el paso', 'casey jones', ""good lovin'"", 'not fade away', ""goin' down the road feeling bad"", 'not fade away', 'one more saturday night']",bertha,37.7879363,-122.4075201
2,Academy of Music,New York,USA,1972-03-21,1972,NY,['unknown'],unknown,40.7127281,-74.0060152
3,Academy of Music,New York,USA,1972-03-22,1972,NY,['unknown'],unknown,40.7127281,-74.0060152
4,Academy of Music,New York,USA,1972-03-23,1972,NY,"['china cat sunflower', 'i know you rider', 'black throated wind', 'chinatown shuffle', 'brown eyed women', 'beat it on down the line', 'looks like rain', 'mr. charlie', 'jack straw', 'next time you see me', 'playing in the band', ""truckin'"", 'ramble on rose', 'two souls in communion', 'mexicali blues', 'big boss man', 'dark star', 'not fade away', ""goin' down the road feeling bad"", 'not fade away', 'sugar magnolia']",china cat sunflower,40.7127281,-74.0060152
5,Academy of Music,New York,USA,1972-03-25,1972,NY,"['hey bo diddiey', ""i'm a man"", 'jam', 'take it off', 'mona', 'how sweet it is', 'are you lonely for me', 'next time you see me', 'brown eyed women', 'smokestack lightning', 'top of the world', 'sugaree', 'looks like rain', 'bertha', 'mr. charlie', 'playing in the band', ""good lovin'"", 'turn on your lovelight']",hey bo diddiey,40.7127281,-74.0060152
6,Academy of Music,New York,USA,1972-03-26,1972,NY,"['greatest story ever told', 'cold rain and snow', 'chinatown shuffle', 'black throated wind', 'you win again', 'mr. charlie', 'jack straw', 'loser', 'looks like rain', 'big railroad blues', 'big boss man', 'playing in the band', ""truckin'"", 'drums', 'the other one', 'me and my uncle', 'the other one', 'wharf rat', 'not fade away', ""goin' down the road feeling bad"", 'not fade away']",greatest story ever told,40.7127281,-74.0060152
7,Academy of Music,New York,USA,1972-03-27,1972,NY,"['bertha', 'black throated wind', 'chinatown shuffle', 'brown eyed women', 'china cat sunflower', 'i know you rider', 'me and bobby mcgee', 'mr. charlie', 'looks like rain', 'deal', 'hurts me too', 'cumberland blues', 'playing in the band', 'greatest story ever told', 'ramble on rose', 'big boss man', 'el paso', ""good lovin'"", 'me and my uncle', 'two souls in communion', 'sugar magnolia', 'loser', 'casey jones', 'one more saturday night']",bertha,40.7127281,-74.0060152
8,Academy of Music,New York,USA,1972-03-28,1972,NY,"['playing in the band', 'sugaree', 'two souls in communion', 'sugar magnolia', 'the other one', 'hurts me too', 'not fade away', ""goin' down the road feeling bad"", 'not fade away', 'sidewalks of new york', 'one more saturday night']",playing in the band,40.7127281,-74.0060152
11,City Hall,Newcastle,England,1972-04-11,1972,,"['greatest story ever told', 'deal', 'mr charlie', 'black throated wind', 'tennessee jed', 'big boss man', 'beat it on down the line', 'sugaree', 'jack straw', 'chinatown shuffle', 'china cat sunflower', 'i know you rider', 'playing in the band', 'next time you see me', 'brown eyed women', 'looks like rain', 'big railroad blues', 'casey jones', ""good lovin'"", 'ramble on rose', ""truckin'"", 'drums', 'the other one', 'comes a time', 'sugar magnolia', 'brokedown palace']",greatest story ever told,54.93658,-1.4003975
12,Tivoii Theater,Copenhagen,Denmark,1972-04-14,1972,,"['bertha', 'me and my uncle', 'mr. charlie', 'you win again', 'black throated wind', 'chinatown shuffle', 'loser', 'me and bobby mcgee', 'cumberland blues', 'playing in the band', 'tennessee jed', 'el paso', 'big boss man', 'beat it on down the line', 'casey jones', ""truckin'"", 'hurts me too', 'brown eyed women', 'looks like rain', 'dark star', 'sugar magnolia', ""good lovin'"", 'caution', 'who do you love', 'caution', ""good lovin'"", 'not fade away', ""goin' down the road feeling bad"", 'not fade away', 'one more saturday night']",bertha,55.7350891,9.1288507
13,Tivoli Theater,Copenhagen,Denmark,1972-04-15,1972,,['unknown'],unknown,55.7350891,9.1288507
14,Aarhus University,Aarhus,Denmark,1972-04-16,1972,,"['greatest story ever told', 'sugaree', 'chinatown shuffle', 'black throated wind', 'tennessee jed', 'mr. charlie', 'beat it on down the line', 'china cat sunflower', 'i know you rider', 'mexicali blues', 'loser', 'next time you see me', 'playing in the band', 'dire wolf', ""good lovin'"", 'cumberland blues', 'el paso', 'deal', ""truckin'"", 'caution', ""uncle john's band"", 'the other one', 'not fade away', ""goin' down the road feeling bad"", 'not fade away']",greatest story ever told,55.7353052,9.1281522
15,Tivoii Gardens,Copenhagen,Denmark,1972-04-17,1972,,"['cold rain and snow', 'me and bobby mcgee', 'chinatown shuffle', 'sugaree', 'black throated wind', 'mr. charlie', 'china cat sunflower', 'i know you rider', 'jack straw', ""he's gone"", 'next time you see me', 'playing in the band', 'casey jones', 'one more saturday night', 'hurts me too', 'ramble on rose', 'el paso', 'big railroad blues', ""truckin'"", 'dark star', 'sugar magnolia', 'caution', 'johnny b. goode']",cold rain and snow,55.7350891,9.1288507
20,Olympia Theater,Paris,France,1972-05-03,1972,,"['bertha', 'me and my uncle', 'mr. charlie', 'sugaree', 'black throated wind', 'chinatown shuffle', 'china cat sunflower', 'i know you rider', 'beat it on down the line', ""he's gone"", 'next time you see me', 'playing in the band', ""good lovin'"", 'sing me back home', 'casey jones', 'greatest story ever told', 'ramble on rose', 'hurts me too', ""truckin'"", 'the other one', 'drums', 'the other one', 'me and bobby mcgee', 'the other one', 'wharf rat', 'jack straw', 'sugar magnolia', 'not fade away', ""goin' down the road feeling bad"", 'not fade away', 'one more saturday night']",bertha,47.2490799,-1.5210393
21,Olympia Theater,Paris,France,1972-05-04,1972,,"['greatest story ever told', 'deal', 'mr. charlie', 'beat it on down the line', 'brown eyed women', 'chinatown shuffle', 'playing in the band', 'you win again', 'hurts me too', ""he's gone"", 'el paso', 'big railroad blues', 'two souls in communion', 'casey jones', ""good lovin'"", 'next time you see me', 'ramble on rose', 'jack straw', 'dark star', 'drums', 'dark star', 'sugar magnolla', 'sing me back home', 'mexicali blues', 'big boss man', ""uncle john's band"", 'not fade away', ""goin' down the road feeling bad"", 'not fade away', 'one more saturday night']",greatest story ever told,47.2490799,-1.5210393
23,Concertgebouw,Amsterdam,Netherlands,1972-05-10,1972,,"['bertha', 'me and my uncle', 'mr. charlie', 'china cat sunflower', 'i know you rider', 'black throated wind', 'next time you see me', 'loser', 'jack straw', ""he's gone"", 'chinatown shuffle', 'playing in the band', 'big railroad blues', 'big boss man', 'greatest story ever told', 'casey jones', ""truckin'"", 'drums', 'the other one', 'bobby mcgee', 'the other one', 'wharf rat', 'beat it on down the line', 'two souls in communion', 'ramble  on', 'sing me back home', 'sugar magnolia', 'not fade away', ""goin' down the road feeling bad"", 'not fade away']",bertha,52.099086,4.2969797
24,Civic Hall,Rotterdam,Netherlands,1972-05-11,1972,,"['playing in the band', 'sugaree', 'mr. charlie', 'black throated wind', 'deal', 'chinatown shuffle', 'mexicali blues', 'china cat sunflower', 'i know you rider', 'hurts me too', 'beat it on down the line', 'brown eyed women', 'jack straw', 'big railroad blues', 'casey jones', ""good lovin'"", 'morning dew', 'me and my uncle', 'two souls in communion', 'el paso', 'tennessee jed', 'next time you see me', 'dark star', 'drums', 'dark star', 'sugar magnolia', 'caution', 'who do you love', 'caution', ""truckin'"", ""uncle john's band"", 'one more saturday night']",playing in the band,51.9244424,4.47775
25,Fairgrounds,Lille,France,1972-05-13,1972,,"['bertha', 'black throated wind', 'chinatown shuffle', 'loser', 'beat it on down the line', 'mr. charlie', 'china cat sunflower', 'i know you rider', 'me and my uncle', 'big railroad blues', 'next time you see me', 'playing in the band', 'sugaree', 'mexicali blues', 'casey jones', ""truckin'"", 'drums', 'the other one', 'big river', ""he's gone"", 'hurts me too', 'sugar magnolia', 'not fade away', ""goin' down the road feeling bad"", 'not fade away', 'one more saturday night']",bertha,50.3817945,3.5838499
28,The Strand Lyceum,London,England,1972-05-23,1972,,"['promised land', 'sugaree', 'mr. charlie', 'black throated wind', 'tennessee jed', 'next time you see me', 'jack straw', 'china cat sunflower', 'i know you rider', 'me & my uncle', 'chinatown shuffle', 'big railroad blues', 'two souls in communion', 'playing in the band', 'top of the world', 'rockin pneumonia', 'mexicali blues', ""good lovin'"", 'casey jones', 'ramble on rose', 'dark star', 'drums', 'dark star', 'morning dew', ""he's gone"", 'sugar magnolia', 'comes a time', ""goin' down the road feeling bad"", 'not fade away', 'hey bo diddley', 'not fade away', ""uncle john's band""]",promised land,52.1117555,0.1712189
29,The Strand Lyceum,London,England,1972-05-24,1972,,"['cold rain and snow', 'beat it on down the line', 'mr. charlie', 'deal', 'me and my uncle', 'hurts me too', 'dire wolf', 'black throated wind', 'chinatown shuffle', 'china cat sunflower', 'i know you rider', 'playing in the band', 'you win again', 'jack straw', 'casey jones', ""rockin' pneumonia"", 'mexicali blues', 'black peter', ""truckin'"", 'drums', 'the other one', 'sing me back home', 'sugar magnolia', 'turn on your lovelight', 'one more saturday night']",cold rain and snow,52.1117555,0.1712189
30,The Strand Lyceum,London,England,1972-05-25,1972,,"['promised land', 'brown eyed women', 'big boss man', 'black throated wind', 'tennessee jed', 'mr. charlie', 'jack straw', 'china cat sunflower', 'i know you rider', 'me and bobby mcgee', ""good lovin'"", 'playing in the band', 'brokedown palace', 'casey jones', 'me and my uncle', 'big railroad blues', 'chinatown shuffle', 'ramble on rose', ""uncle john's band"", 'wharf rat', 'dark star', 'sugar magnolia', 'comes a time', 'el paso', 'top of the world', ""goin' down the road feeling bad"", 'one more saturday night']",promised land,52.1117555,0.1712189
31,The Strand Lyceum,London,England,1972-05-26,1972,,"['promised land', 'sugaree', 'mr. charlie', 'black throated wind', 'loser', 'next time you see me', 'el paso', 'dire wolf', 'two souls in communion', 'playing in the band', ""he's gone"", 'cumberland blues', 'jack straw', 'chinatown shuffle', 'china cat sunflower', 'i know you rider', 'not fade away', ""goin' down the road feeling bad"", 'not fade away', ""truckin'"", 'the other one', 'morning dew', 'the other one', 'sing me back home', 'me and my uncle', 'ramble on rose', 'sugar magnolia', 'casey jones', 'one more saturday night']",promised land,52.1117555,0.1712189
32,Hollywood Bowl,Hollywood,USA,1972-06-17,1972,CA,"['promised land', 'sugaree', 'black throated wind', 'tennessee jed', 'me and my uncle', 'china cat sunflower', 'i know you rider', 'playing in the band', 'loser', 'beat it on down the line', 'stella blue', 'el paso', 'casey jones', 'big railroad blues', 'jack straw', 'cumberland blues', ""truckin'"", 'drums', 'the other one', 'ramble on rose', 'rockin pneumonia', 'sugar magnolia', 'you win again', 'not fade away', ""goin' down the road feeling bad"", 'not fade away']",promised land,34.0980031,-118.329523
33,Roosevelt Stadium,Jersey City,USA,1972-07-10,1972,NJ,"['bertha', 'me and my uncle', 'bird song', 'promised land', 'sugaree', 'black throated wind', 'china cat sunflower', 'i know you rider', 'jack straw', 'loser', 'beat it on down the line', 'stella blue', 'el paso', 'casey jones', 'greatest story ever told', 'playing in the band', 'brown eyed women', 'tennessee jed', ""truckin'"", 'dark star', 'comes a time', 'sugar magnolia', 'ramble on rose', 'mississippi half-step', 'sing me back home', 'not fade away', ""goin' down the road feeling bad"", 'not fade away', 'one more saturday night']",bertha,40.7215682,-74.047455
34,Dillon Stadium,Hartford,USA,1972-07-16,1972,CT,"['promised land', 'cold rain and snow', 'black throated wind', 'sugaree', 'playing in the band', 'tennessee jed', 'jack straw', 'deal', 'mexicali blues', 'stella blue', 'cumberland blues', 'me and my uncle', 'mississippi half-step', 'sing me back home', 'ramble on rose', ""truckin'"", 'drums', 'the other one', ""he's gone"", 'the other one', 'looks like rain', 'sugar magnolia', 'not fade away', ""goin' down the road feeling bad"", 'hey bo diddley', 'johnny b. goode']",promised land,41.764582,-72.6908547
35,Paramount Northwest Theatre,Seattle,USA,1972-07-21,1972,WA,['unknown'],unknown,47.6038321,-122.330062
36,Paramount Northwest Theatre,Seattle,USA,1972-07-22,1972,WA,"['bertha', 'me and my uncle', 'you win again', 'jack straw', 'bird song', 'beat it on down the line', 'sugaree', 'black throated wind', 'big railroad blues', 'cumberland blues', 'brown eyed women', 'el paso', 'tennessee jed', 'playing in the band', 'china cat sunflower', 'i know you rider', 'mexicali blues', 'deal', 'promised land', 'sing me back hom', 'mississippi half-step', 'me and bobby mcgee', 'ramble on rose', ""truckin'"", ""he's gone"", 'sugar magnolia', 'not fade away', ""goin' down the road feeling bad"", 'not fade away']",bertha,47.6038321,-122.330062
37,Paramount Theater,Portland,USA,1972-07-25,1972,OR,['unknown'],unknown,45.5202471,-122.674194
38,Paramount Theater,Portland,USA,1972-07-26,1972,OR,['unknown'],unknown,45.5202471,-122.674194
39,Memorial Auditorium,Sacramento,USA,1972-08-12,1972,CA,"['promised land', 'sugaree', 'me and my uncle', 'bird song', 'black throated wind', 'deal', 'el paso', 'tennessee jed', 'playing in the band', 'big railroad blues', 'cumberland blues', 'stella blue', 'jack straw', 'casey jones', 'greatest story ever told', 'ramble on rose', 'beat it on down the line', ""he's gone"", 'drums', 'the other one', 'black peter', 'the other one', ""truckin'"", 'mississippi half-step', 'sugar magnolia', 'one more saturday night']",promised land,38.5810606,-121.493895
40,Civic Auditorium,San Jose,USA,1972-08-20,1972,CA,"['bertha', 'me and my uncle', 'sugaree', 'beat it on down the line', 'bird song', 'jack straw', 'friend of the devil', 'black throated wind', 'cumberland blues', 'el paso', 'loser', 'playing in the band', 'promised land', 'brown eyed women', 'me and bobby mcgee', ""truckin'"", 'drums', 'the other one', 'stella blue', 'sugar magnolia', 'casey jones', 'one more saturday night', ""uncle john's band""]",bertha,37.3361663,-121.890591
41,Berkeley Community Theatre,Berkeley,USA,1972-08-21,1972,CA,"['promised land', ""he's gone"", 'black throated wind', 'jack straw', 'china cat sunflower', 'i know you rider', 'me and my uncle', 'sugaree', 'beat it on down the line', 'stella blue', 'playing in the band', 'brown eyed women', 'mexicali blues', 'casey jones', 'greatest story ever told', 'ramble on rose', 'dark star', 'el paso', 'dark star', 'deal', 'sugar magnolia', 'mississippi half-step', ""uncle john's band"", 'one more saturday night']",promised land,37.8708393,-122.272863
42,Berkeley Community Theatre,Berkeley,USA,1972-08-22,1972,CA,"['bertha', 'greatest story ever told', 'loser', 'black throated wind', 'friend of the devil', 'big river', 'bird song', 'beat it on down the line', 'tennessee jed', 'me and my uncle', ""he's gone"", 'playing in the band', 'promised land', 'brown eyed women', 'mexicali blues', ""truckin'"", 'drums', 'the other one', 'stella blue', 'el paso', 'ramble on rose', 'not fade away', ""goin' down the road feeling bad"", 'hey bo diddley', 'not fade away']",bertha,37.8708393,-122.272863
43,Berkeley Community Theatre,Berkeley,USA,1972-08-24,1972,CA,"['promised land', 'sugaree', 'jack straw', 'china cat sunflower', 'i know you rider', 'me and my uncle', 'bird song', 'beat it on down the line', 'tennessee jed', 'playing in the band', 'casey jones', 'mississippi half-step', 'mexicali blues', 'brown eyed women', ""truckin'"", 'dark star', 'morning dew', 'sugar magnolia', 'sing me back home', 'one more saturday night', ""uncle john's band""]",promised land,37.8708393,-122.272863
44,Berkeley Community Theatre,Berkeley,USA,1972-08-25,1972,CA,"['cold rain and snow', 'black throated wind', ""he's gone"", 'beat it on down the line', 'loser', 'frozen logger', 'el paso']",cold rain and snow,37.8708393,-122.272863
45,Old Renaissance Faire Grounds,Veneta,USA,1972-08-27,1972,OR,"['promised land', 'sugaree', 'me and my uncle', 'deal', 'black throated wind', 'china cat sunflower', 'i know you rider', 'mexicali blues', 'bertha', 'playing in the band', ""he's gone"", 'jack straw', 'bird song', 'greatest story ever told', 'dark star', 'el paso', 'sing me back home', 'sugar magnolla', 'casey jones']",promised land,44.0488807,-123.351514
